event_id,event_title,date,description,region,agreement_check,agreement_link,event_type,subject_type,subject_topic,subject_story,organizer_type,organizer_name,detentions,ovd,place,links
1,Акции «Народ против незаконных выборов!»,2011-12-04,"Массовые задержания во время акций на Триумфальной, Красной и площади Революции сторонников бойкота парламентских выборов.",Москва,,,собрание,политический протест,выборы,,институциональный протест,Оркгомитет 23 августа,198,"Арбат,Аэропорт,Мещанский,Тверской,Фили-Давыдково,Хамовники,Хорошевский","Триумфальная, Площадь Революции, Красная площадь",http://namarsh-ru.livejournal.com/6144795.html
2,Митинг против массовых фальсификаций на парламентских выборах,2011-12-05,Массовые задержания после митинга на Чистопрудном бульваре против массовых фальсификаций на парламентских выборах.,Москва,checked,,собрание,политический протест,выборы,,институциональный протест,Солидарность,300,,Чистопрудный бульвар,http://ovdinfo.org/article/sergei-udaltsov-politicheskii-zaklyuchennyi
3,Митинг против массовых фальсификаций на парламентских выборах,2011-12-06,Массовые задержания во время митинг на Триумфальной площади против массовых фальсификаций на парламентских выборах.,Москва,,,собрание,политический протест,выборы,,стихийный протест,,600,,Триумфальная площадь,http://ovdinfo.org/article/sergei-udaltsov-politicheskii-zaklyuchennyi
4,Митинг против массовых фальсификаций на парламентских выборах,2011-12-07,"Задержания возле Триумфальной площади, где планировалось провести митинг против массовых фальсификаций на парламентских выборах и массовых задержаний.",Москва,,,собрание,политический протест,выборы,,стихийный протест,,70,"Басманный,Мещанский,Пресненский,Таганский,Хамовники",Триумфальная площадь,http://lenta.ru/news/2011/12/08/figures/
5,Одиночные пикеты в поддержку арестованных 4 декабря,2011-12-14,Задержания во время проведения серии одиночных пикетов возле спецприемника на Симферопольском бульваре.,Москва,,,одиночный пикет,политический протест,политзаключенные,,активистский протест,,3,Зюзино,"у спецприемника для административно задержанных, Симферопольский бульвар, 2Г",http://ovdinfo.org/express-news/19
6,Митинг партии «Яблоко» против фальсификаций на парламентских выборах,2011-12-18,Задержание гражданских активистов за раздачу листовок во время согласованного митинга партии «Яблоко».,Москва,checked,,собрание,политический протест,выборы,,институциональный протест,Яблоко,2,,Болотная Площадь,http://ovdinfo.org/express-news/20
7,Акция «Не допустим самозванцев в парламент!»,2011-12-21,,Москва,,,акция,политический протест,выборы,,институциональный протест,Другая Россия,27,"Мещанский,Пресненский,Таганский,Тверской","у Государственной Думы, ул. Охотный ряд, д. 1","http://ovdinfo.org/express-news/29, http://ovdinfo.org/express-news/30, http://ovdinfo.org/express-news/31, http://ovdinfo.org/express-news/33, http://starshinazapasa.livejournal.com/323461.html"
8,Флешмоб «У меня украли голос»,2011-12-23,,Москва,,,акция,политический протест,выборы,,институциональный протест,Оргкомитет протестных действий,30,,м Пушкинская,"http://ovdinfo.org/express-news/45, http://ovdinfo.org/express-news/47"
9,Митинг «За честные выборы!»,2011-12-24,Задержания на подходе к митингу.,Москва,checked,,собрание,политический протест,выборы,,институциональный протест,Оргкомитет протестных действий,10,,Проспект Сахарова,http://ovdinfo.org/express-news/49
10,Митинг возле здания Тверского мирового суда после ареста Сергея Удальцова,2011-12-25,"У мирового суда Тверского района Москвы, где было вынесено решение об административном аресте Сергея Удальцова, задержали трех человек.",Москва,,,собрание,политический протест,политзаключенные,,стихийный протест,,3,,"У здания Тверского мирового суда, Новая площадь, д. 8",http://ovdinfo.org/express-news/57
11,Стратегия-31,2011-12-31,,Москва,,,собрание,политический протест,свобода собраний,Стратегия-31,институциональный протест,Стратегия-31,62,,Триумфальная площадь,http://ovdinfo.org/express-news/70
12,Одиночные пикеты «Свободу Таисии Осиповой!»,2012-01-10,,Москва,,,одиночный пикет,политический протест,политзаключенные,Таисия Осипова,институциональный протест,Другая Россия,4,,"м. Новокузнецкая, м. Площадь Революции, м. Сокольники",http://ovdinfo.org/express-news/75
13,Митинг-презентация «Списка Чурова» ,2012-01-14,Лидер партии «ЯБЛОКО» Сергей Митрохин и организатор митинга-презентации «Списка Чурова» Майя Завьялова задержаны после окончания акции и доставлены в ОВД «Басманное». Во время акции был задержан мужчина с плакатом.,Москва,checked,,собрание,политический протест,выборы,,институциональный протест,Яблоко,3,,Чистопрудный бульвар,http://ovdinfo.org/express-news/77
14,Международная акция протеста против законопроекта «SOPA»,2012-01-18,,Москва,,,собрание,групповой протест,другое,SOPA,институциональный протест,Пиратская партия,2,,"у здания посольства США, Большой Девятинский пер, д. 8",http://ovdinfo.org/express-news/78
15,Марш памяти Маркелова и Бабуровой,2012-01-19,,Москва,checked,,в движении,политический протест,антифа,,институциональный протест,Комитет 19 января,1,,Пушкинская площадь,http://ovdinfo.org/express-news/80
16,Акция Pussy Riot на Лобном месте,2012-01-20,,Москва,,,акция,политический протест,против власти,,институциональный протест,Pussy Riot,8,,Красная площадь,http://ovdinfo.org/express-news/81
17,Раздача палаток «РосАгитом»,2012-01-24,,Москва,,,акция,политический протест,выборы,,институциональный протест,Росагит,1,,Пушкинская площадь,http://ovdinfo.org/express-news/83
18,Стратегия-31,2012-01-31,,Москва,,,собрание,политический протест,свобода собраний,Стратегия-31,институциональный протест,Стратегия-31,48,,Триумфальная площадь,http://ovdinfo.org/express-news/86
19,Пикеты «Информационный прорыв»,2012-02-02,,Москва,,,одиночный пикет,политический протест,выборы,,активистский протест,,1,,м Алтуфьево,http://ovdinfo.org/express-news/90
20,Акция «Остановим диктатуру!»,2012-02-07,,Москва,,,собрание,политический протест,против власти,,институциональный протест,Другая Россия,15,,"у ЦИК, Большой Черкасский Переулок, 9",http://ovdinfo.org/express-news/91
21,Акция «Стоп газовый шантаж»,2012-02-13,Активистки женского движения FEMEN ворвались с плакатами на территорию штаб-квартиры Газпрома в Москве. После акции одна из активисток была задержана.,Москва,,,акция,политический протест,против власти,экономика,институциональный протест,,1,,"штаб-квартира «Газпрома», ул. Намёткина, дом 16",http://ovdinfo.org/express-news/94
22,Акция «Остановим диктатуру!»,2012-02-14,,Москва,,,собрание,политический протест,против власти,,институциональный протест,Другая Россия,23,,"у ЦИК, Большой Черкасский Переулок, 9","http://ovdinfo.org/express-news/99, http://ovdinfo.org/express-news/100"
23,Акция «Живая цепь свободных»,2012-02-18,,Москва,,,одиночный пикет,политический протест,выборы,,институциональный протест,Оргкомитет протестных действий,13,,Тверская улица,http://ovdinfo.org/express-news/103
24,Акция «Москва сжимает белое кольцо»,2012-02-19,,Москва,,,акция,политический протест,выборы,,институциональный протест,Оргкомитет протестных действий,3,,Крымский вал,"http://ovdinfo.org/express-news/110, http://ovdinfo.org/express-news/111"
25,Акция «Остановим диктатуру!»,2012-02-21,,Москва,,,собрание,политический протест,против власти,,институциональный протест,Другая Россия,25,,"у ЦИК, Большой Черкасский Переулок, 9",http://ovdinfo.org/express-news/112
26,Раздача докладов «Путин. Итоги»,2012-02-23,,Москва,,,агитация,политический протест,против власти,,институциональный протест,Солидарность,18,,"м. Спортивная, м. Фрунзенская",http://ovdinfo.org/express-news/122
