year,event_id,event_title,date,region,description,agreement,event_type,subject_type,subject_topic,subject_story,organizer_type,organizer_name,detentions,ovd,place,links
2017,905,Одиночные пикеты в поддержку Ильдара Дадина,2017-01-04,Москва,"Задержания за пикеты в поддержку Ильдара Дадина на Житной улице в Москве, где находятся здания Федеральной службы исполнения наказаний и Министерства юстиции. ",-,одиночный пикет,политический протест,политзаключенные,освобождение политзаключенных,активистский протест,Unnamed record,6,Якиманка,Житная улица,https://ovdinfo.org/express-news/2017/01/04/za-pikety-v-podderzhku-dadina-zaderzhany-eshche-chetyre-cheloveka
2017,906,Перекрытие трассы дальнобойщиками в знак протеста против платной дороги,2017-01-05,Санкт-Петербург,"Полиция  задержала Александра Макарова, одного из дальнобойщиков перекрывших внутригородскую платную скоростную магистраль «Западный скоростной диаметр» (ЗСД) в знак протеста против платного въезда.",-,акция,локальный протест,узкоэкономические требования,против платной дороги,активистский протест,,1,Отдел полиции №29 Московского района г.Санкт-Петербурга,У въезда на скоростную магистраль «Западный скоростной диаметр»,https://ovdinfo.org/express-news/2017/01/05/policiya-zaderzhala-odnogo-iz-perekryvavshih-trassu-dalnoboyshchikov
2017,907,Флешмоб «В метро без штанов»,2017-01-08,Москва,"Был задержан организатор флешмоба «В метро без штанов», запланированной в рамках международной акции. В полиции задержание объяснили тем, то Веселый похож на разыскиваемое лицо. Пытались вменить статью 20.2.2 КоАП.",-,акция,групповой протест,другое,весело провести время,активистский протест,Марк Веселый,1,,станция метро «Цветной бульвар»,https://ovdinfo.org/express-news/2017/01/08/organizatora-fleshmoba-v-moskovskom-metro-zaderzhali-do-nachala-akcii
2017,908,"Чтения «понятийной Конституции»
",2017-01-12,Москва,"Четыре участника движения 14%, 12 января читавшие вслух «понятийную Конституцию» (автор - Владимир Пастухов)  у памятника Грибоедову на Чистопрудном бульваре, были задержаны полицией примерно через 20 минут после начала акции.",-,акция,политический протест,против власти,неписаные законы,институциональный протест,Движение 14%,4,Басманный,Памятник Грибоедову на Чистопрудном бульваре,https://ovdinfo.org/express-news/2017/01/12/vo-vremya-chteniya-konstitucii-v-centre-moskvy-zaderzhany-chetvero
2017,909,"Народный сход в поддержку политзаключенных
",2017-01-14,Москва,"У памятника Грибоедову, где планировался народный сход в поддержку Ильдара Дадина, задержали около 30 человек. Главные темы схода — требование согласования Антикризисного митинга № 1 и поддержка политических заключенных — Ильдара Дадина и многих других.",-,собрание,политический протест,политзаключенные,освобождение политзаключенных,институциональный протест,Новая оппозиция,30,"Басманный,Мещанский",Памятник Грибоедову на Чистопрудном бульваре,https://ovdinfo.org/news/2017/01/14/zaderzhaniya-u-pamyatnika-griboedovu-14-yanvarya-2017-goda
2017,910,Сход против уплотнительной застройки,2017-01-14,Москва,"В Москве в районе Теплого Стана был задержан человек, участвовавший в сходе против уплотнительной застройки.",-,собрание,локальный протест,градостроительная,против стройки в Теплом стане,стихийный протест,,1,Теплый Стан,Теплый стан,https://ovdinfo.org/express-news/2017/01/14/v-moskve-v-rayone-teplogo-stana-byl-zaderzhan-chelovek-protestovavshiy
2017,911,"Мемориал Немцова
",2017-01-16,Москва,"У мемориала Бориса Немцова задержаны Иван Шаравин, Борис Казадаев и Марина Лебедева. в ОВД «Китай-город» их обвинили в том, что они проводили на мосту пикет.
",-,оккупай,политический протест,против власти,протест против безнаказанного убийства,активистский протест,"""""""Группа волонтеров — дежурных, постоянно поддерживающих мемориал Немцова""""""",3,Китай-город,Большой Москворецкий мост (Немцов мост),"https://ovdinfo.org/express-news/2017/01/16/zaderzhany-troe-chelovek-u-memoriala-borisa-nemcova-im-vmenyayut-provedenie, https://nemtsov-most.org/"
2017,912,"Мемориал Немцова
",2017-01-17,Москва,"У мемориала Бориса Немцова произошло второе задержание за сутки: Михаил Силич, он доставлен в ОВД «Китай-город». По информации, полученной от активистов, причиной задержания стало то, что Силич стоял с флагом России. Вместе с ним у мемориала находилась Татьяна Тихонович, она не задержана.
",-,оккупай,политический протест,против власти,протест против безнаказанного убийства,активистский протест,"""""""Группа волонтеров — дежурных, постоянно поддерживающих мемориал Немцова""""""",1,Китай-город,Большой Москворецкий мост (Немцов мост),"https://ovdinfo.org/express-news/2017/01/17/u-memoriala-nemcova-snova-proizoshlo-zaderzhanie, https://nemtsov-most.org/, "
2017,913,Шествие против ксенофобии и памяти убитых нацистами Станислава Маркелова и Анастасии Бабуровой,2017-01-19,Санкт-Петербург,"На антифашистском марше, посвященном восьмой годовщине убийства нацистами адвоката Станислава Маркелова и журналистки Анастасии Бабуровой, сотрудники полиции задержали 76-летнего активиста Игоря Андреева. Задержали по статье 20.2 КоАП — он участвовал в марше с плакатом «Убиты: Станислав Маркелов, Настя Бабурова. Не забудем, не простим».",-,в движении,политический протест,антифа,антифашизм,активистский протест,Иван Овсянников,1,Отдел полиции №78 Центрального района г.Санкт-Петербурга,,"https://ovdinfo.org/express-news/2017/01/19/v-sankt-peterburge-na-antifashistskom-marshe-zaderzhali-aktivista, https://vk.com/antifaday2017"
2017,914,Шествие против ксенофобии и памяти убитых нацистами Станислава Маркелова и Анастасии Бабуровой,2017-01-19,Москва,"Шествии против ксенофобии и памяти убитых нацистами адвоката Станислава Маркелова и журналистки Анастасии Бабуровой. Задержали ЛГБТ - активистку Марту Хромову, у которой в руках был радужный флаг.  Задержан участник движения «Сорок сороков» Сергей Ковшов, скандировавший «За православие, за Родину» + в руках у него был порванный радужный плакат. Были еще задержанные. ",согласовано,в движении,политический протест,антифа,антифашизм,институциональный протест,Глава движения «За права человека» и член Московской Хельсинкской группы Лев Пономарев.,8,Арбат,Никитский бульвар,https://ovdinfo.org/express-news/2017/01/19/v-moskve-na-shestvii-protiv-ksenofobii-za-raduzhnyy-flag-zaderzhana
